"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11199","Опубликовать отзыв на странице продукта","chromium","Sun May 11 01:14:21 GMT 2025","passed","Sun May 11 01:14:32 GMT 2025","","ui.tests.js","",""
"","3569","Проверить отображение товара на главной странице","chromium","Sun May 11 01:14:07 GMT 2025","passed","Sun May 11 01:14:11 GMT 2025","","ui.tests.js","",""
"","7523","Выбрать количество товара в карточке","chromium","Sun May 11 01:14:32 GMT 2025","passed","Sun May 11 01:14:40 GMT 2025","","ui.tests.js","",""
"","269","Нельзя запросить несуществующий todo GET /todos @API","chromium","Sun May 11 01:14:00 GMT 2025","passed","Sun May 11 01:14:01 GMT 2025","API challenge","api.tests.js","",""
"","347","Получить полный список челленджей GET /challenges @API","chromium","Sun May 11 01:14:00 GMT 2025","passed","Sun May 11 01:14:00 GMT 2025","API challenge","api.tests.js","",""
"","10197","Выбрать валюту в карточке товара","chromium","Sun May 11 01:14:11 GMT 2025","passed","Sun May 11 01:14:21 GMT 2025","","ui.tests.js","",""
"","252","Выбрать определенное задание GET /todos @API","chromium","Sun May 11 01:14:01 GMT 2025","passed","Sun May 11 01:14:01 GMT 2025","API challenge","api.tests.js","",""
"","239","Получить список заданий GET /todos @API","chromium","Sun May 11 01:14:00 GMT 2025","passed","Sun May 11 01:14:00 GMT 2025","API challenge","api.tests.js","",""
"","1896","Проверить пагинацию на главной странице","chromium","Sun May 11 01:14:03 GMT 2025","passed","Sun May 11 01:14:05 GMT 2025","","ui.tests.js","",""
"","235","Выбрать несуществующее задание GET /todos @API","chromium","Sun May 11 01:14:01 GMT 2025","passed","Sun May 11 01:14:01 GMT 2025","API challenge","api.tests.js","",""
